# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-02-25 00:11:45; hka-aqm-n113;  21.10;  29.89;   419;  9996;     5;     0;     2;     3;  -126;  -126;  -7.5; drag-lps8-01; 3; 7; 125000; 2407
2023-02-25 00:42:11; hka-aqm-n113;  21.08;  28.53;   414;  9996;     5;     0;     2;     3;  -124;  -124;  -6.2; drag-lps8-01; 4; 7; 125000; 2410
2023-02-25 01:12:45; hka-aqm-n113;  21.07;  27.45;   411;  9997;     5;     0;     2;     3;  -125;  -125;  -6.0; drag-lps8-01; 4; 7; 125000; 2413
2023-02-25 01:27:52; hka-aqm-n113;  21.05;  27.41;   411;  9997;     7;     2;     2;     3;  -125;  -125;  -8.0; drag-lps8-01; 3; 7; 125000; 2414
2023-02-25 02:44:06; hka-aqm-n113;  21.01;  27.24;   413;  9997;     5;     1;     0;     0;  -126;  -126;  -8.2; drag-lps8-01; 3; 7; 125000; 2419
2023-02-25 02:59:12; hka-aqm-n113;  20.99;  27.28;   415;  9996;     7;     2;     2;     3;  -124;  -124;  -6.2; drag-lps8-01; 4; 7; 125000; 2420
2023-02-25 03:14:32; hka-aqm-n113;  20.99;  27.31;   416;  9996;     5;     1;     2;     3;  -124;  -124;  -8.0; drag-lps8-01; 3; 7; 125000; 2421
2023-02-25 04:15:19; hka-aqm-n113;  21.02;  25.50;   421;  9996;     5;     0;     2;     3;  -126;  -126;  -7.0; drag-lps8-01; 4; 7; 125000; 2425
2023-02-25 04:45:52; hka-aqm-n113;  21.03;  24.99;   413;  9997;     5;     0;     2;     3;  -128;  -128;  -8.2; drag-lps8-01; 5; 7; 125000; 2427
2023-02-25 05:01:00; hka-aqm-n113;  21.00;  25.12;   412;  9997;     5;     1;     2;     3;  -124;  -124;  -6.8; drag-lps8-01; 4; 7; 125000; 2428
2023-02-25 05:46:40; hka-aqm-n113;  20.98;  24.30;   418;  9997;     7;     2;     1;     0;  -124;  -124;  -7.0; drag-lps8-01; 4; 7; 125000; 2431
2023-02-25 06:01:53; hka-aqm-n113;  20.88;  23.96;   417;  9997;     5;     0;     2;     0;  -124;  -124;  -8.0; drag-lps8-01; 3; 7; 125000; 2432
2023-02-25 06:17:13; hka-aqm-n113;  20.92;  23.20;   419;  9997;     7;     2;     1;     0;  -126;  -126;  -8.5; drag-lps8-01; 5; 7; 125000; 2433
2023-02-25 06:47:33; hka-aqm-n113;  21.00;  22.79;   413;  9997;     5;     0;     2;     3;  -125;  -125;  -6.2; drag-lps8-01; 4; 7; 125000; 2435
2023-02-25 07:02:54; hka-aqm-n113;  21.02;  22.58;   413;  9997;     5;     0;     1;     0;  -125;  -125;  -7.0; drag-lps8-01; 3; 7; 125000; 2436
2023-02-25 07:33:20; hka-aqm-n113;  21.07;  22.62;   411;  9997;     6;     1;     1;     0;  -125;  -125;  -6.2; drag-lps8-01; 4; 7; 125000; 2438
2023-02-25 07:48:26; hka-aqm-n113;  21.05;  22.51;   416;  9997;     8;     1;     0;     0;  -125;  -125;  -7.8; drag-lps8-01; 3; 7; 125000; 2439
2023-02-25 08:34:07; hka-aqm-n113;  21.02;  22.17;   426;  9996;    15;     3;     2;     3;  -125;  -125;  -8.2; drag-lps8-01; 5; 7; 125000; 2442
2023-02-25 09:19:47; hka-aqm-n113;  21.08;  21.75;   415;  9997;    23;     6;     2;     0;  -124;  -124;  -6.2; drag-lps8-01; 4; 7; 125000; 2445
2023-02-25 10:20:41; hka-aqm-n113;  21.06;  22.89;   413;  9997;    40;    12;     2;     0;  -123;  -123;  -5.2; drag-lps8-01; 4; 7; 125000; 2449
2023-02-25 11:06:28; hka-aqm-n113;  21.08;  21.96;   410;  9997;    45;    12;     1;     0;  -123;  -123;  -6.0; drag-lps8-01; 4; 7; 125000; 2452
2023-02-25 11:36:48; hka-aqm-n113;  21.10;  21.89;   417;  9997;    27;     7;     1;     0;  -126;  -126;  -8.2; drag-lps8-01; 5; 7; 125000; 2454
2023-02-25 11:52:08; hka-aqm-n113;  21.08;  21.89;   419;  9996;    28;     8;     2;     3;  -125;  -125;  -5.8; drag-lps8-01; 4; 7; 125000; 2455
